"path","category","purpose","runtime","extension","status","evidence"
".cursor/rules/AI.mdc","cursor-rules","Cursor AI workspace rule","build-time",".mdc","active",".cursor/rules/AI.mdc"
".cursor/rules/developer-working.mdc","cursor-rules","Cursor AI workspace rule","build-time",".mdc","active",".cursor/rules/developer-working.mdc"
".cursor/rules/s.mdc","cursor-rules","Cursor AI workspace rule","build-time",".mdc","active",".cursor/rules/s.mdc"
".cursor/settings.json","cursor-rules","Cursor AI workspace rule","build-time",".json","active",".cursor/settings.json"
".dockerignore","docker","Container/deployment config","deployment-only",".dockerignore","active",".dockerignore"
".env.example","config","Project configuration","build-time",".example","active",".env.example"
".gitignore","other","Project file (.gitignore)","shared",".gitignore","active",".gitignore"
"DEPLOY_FIX.md","docs-rules","Project file (.md)","build-time",".md","active","DEPLOY_FIX.md"
"DIGIPAY_SETUP.md","docs-rules","Project file (.md)","build-time",".md","active","DIGIPAY_SETUP.md"
"Dockerfile","docker","Container/deployment config","deployment-only","","active","Dockerfile"
"README.md","docs-rules","Project file (.md)","build-time",".md","active","README.md"
"RELIABILITY_GUIDE.md","docs-rules","Project file (.md)","build-time",".md","active","RELIABILITY_GUIDE.md"
"backup-db.ps1","other","Project file (.ps1)","shared",".ps1","active","backup-db.ps1"
"backup-db.sh","other","Project file (.sh)","shared",".sh","active","backup-db.sh"
"deploy/ai-gateway/README.md","deployment","Deploy artifact (gateway/scripts)","deployment-only",".md","active","deploy/ai-gateway/README.md"
"deploy/ai-gateway/index.php","deployment","Deploy artifact (gateway/scripts)","deployment-only",".php","active","deploy/ai-gateway/index.php"
"deploy/ai-gateway/private/ai-config.example.php","deployment","Deploy artifact (gateway/scripts)","deployment-only",".php","active","deploy/ai-gateway/private/ai-config.example.php"
"deploy/ai-gateway/test-gateway.sh","deployment","Deploy artifact (gateway/scripts)","deployment-only",".sh","active","deploy/ai-gateway/test-gateway.sh"
"docker-compose.yml","docker","Container/deployment config","deployment-only",".yml","active","docker-compose.yml"
"docker-entrypoint.sh","docker","Container/deployment config","deployment-only",".sh","active","docker-entrypoint.sh"
"eslint.config.mjs","config","Project configuration","build-time",".mjs","active","eslint.config.mjs"
"next.config.ts","config","Project configuration","build-time",".ts","active","next.config.ts"
"package-lock.json","config","Project configuration","build-time",".json","active","package-lock.json"
"package.json","config","Project configuration","build-time",".json","active","package.json"
"postcss.config.mjs","config","Project configuration","build-time",".mjs","active","postcss.config.mjs"
"prisma/dev.db","database","Prisma schema or migration","server-only",".db","active","prisma/dev.db"
"prisma/migrations/20260702000000_add_telegram_settings/migration.sql","database","Prisma schema or migration","server-only",".sql","active","prisma/migrations/20260702000000_add_telegram_settings/migration.sql"
